,Tの数
0,21.0
1,27.0
2,22.0
3,23.0
4,20.0
5,25.0
6,23.0
7,24.0
8,17.0
9,25.0
10,19.0
11,22.0
12,20.0
13,23.0
14,21.0
15,20.0
16,23.0
17,23.0
18,22.0
19,22.0
20,19.0
21,25.0
22,26.0
23,21.0
24,21.0
25,25.0
26,20.0
27,20.0
28,22.0
29,21.0
30,22.0
31,24.0
32,19.0
33,25.0
34,25.0
35,22.0
36,22.0
37,28.0
38,24.0
39,27.0
40,24.0
41,20.0
42,16.0
43,22.0
44,21.0
45,20.0
46,23.0
47,26.0
48,22.0
49,20.0
50,18.0
51,24.0
52,20.0
53,24.0
54,22.0
55,22.0
56,21.0
57,23.0
58,21.0
59,22.0
60,24.0
61,18.0
62,19.0
63,19.0
64,23.0
65,25.0
66,21.0
67,22.0
68,23.0
69,23.0
70,22.0
71,25.0
72,22.0
73,21.0
74,25.0
75,21.0
76,19.0
77,18.0
78,19.0
79,23.0
80,17.0
81,22.0
82,28.0
83,22.0
84,22.0
85,23.0
86,16.0
87,22.0
88,25.0
89,22.0
90,19.0
91,23.0
92,28.0
93,21.0
94,26.0
95,17.0
96,17.0
97,20.0
98,24.0
99,19.0
100,18.0
101,27.0
102,21.0
103,22.0
104,23.0
105,22.0
106,24.0
107,19.0
108,24.0
109,26.0
110,22.0
111,20.0
112,26.0
113,24.0
114,25.0
115,23.0
116,22.0
117,27.0
118,21.0
119,22.0
120,26.0
121,22.0
122,25.0
123,20.0
124,26.0
125,29.0
126,26.0
127,26.0
128,23.0
129,22.0
130,16.0
131,22.0
132,25.0
133,26.0
134,21.0
135,24.0
136,20.0
137,20.0
138,19.0
139,20.0
140,25.0
141,22.0
142,19.0
143,27.0
144,29.0
145,19.0
146,22.0
147,23.0
148,20.0
149,28.0
150,19.0
151,22.0
152,24.0
153,20.0
154,23.0
155,19.0
156,22.0
157,23.0
158,19.0
159,23.0
160,28.0
161,20.0
162,16.0
163,26.0
164,20.0
165,24.0
166,20.0
167,24.0
168,19.0
169,22.0
170,25.0
171,23.0
172,23.0
173,23.0
174,25.0
175,21.0
176,21.0
177,20.0
178,22.0
179,20.0
180,26.0
181,24.0
182,22.0
183,24.0
184,20.0
185,23.0
186,23.0
187,26.0
188,20.0
189,16.0
190,26.0
191,22.0
192,23.0
193,26.0
194,22.0
195,23.0
196,26.0
197,23.0
198,22.0
199,21.0
200,26.0
201,23.0
202,23.0
203,21.0
204,29.0
205,23.0
206,23.0
207,21.0
208,26.0
209,22.0
210,28.0
211,25.0
212,24.0
213,26.0
214,22.0
215,21.0
216,23.0
217,23.0
218,20.0
219,22.0
220,23.0
221,24.0
222,21.0
223,17.0
224,26.0
225,23.0
226,24.0
227,23.0
228,21.0
229,27.0
230,17.0
231,22.0
232,22.0
233,20.0
234,22.0
235,22.0
236,22.0
237,20.0
238,24.0
239,17.0
240,20.0
241,20.0
242,24.0
243,26.0
244,23.0
245,20.0
246,28.0
247,20.0
248,30.0
249,22.0
250,21.0
251,25.0
252,23.0
253,24.0
254,25.0
255,23.0
256,26.0
