,Tの数
0,1.0
1,3.0
2,4.0
3,1.0
4,2.0
5,2.0
6,3.0
7,2.0
8,1.0
9,3.0
10,0.0
11,2.0
12,5.0
13,4.0
14,3.0
15,4.0
16,4.0
17,4.0
18,3.0
19,4.0
20,2.0
21,3.0
22,3.0
23,1.0
24,2.0
25,4.0
26,3.0
27,2.0
28,2.0
29,3.0
30,4.0
31,1.0
32,1.0
33,3.0
34,5.0
35,3.0
36,2.0
37,3.0
38,2.0
39,3.0
40,3.0
41,3.0
42,1.0
43,2.0
44,4.0
45,2.0
46,3.0
47,3.0
48,3.0
49,1.0
50,2.0
51,4.0
52,3.0
53,2.0
54,3.0
55,2.0
56,2.0
57,5.0
58,3.0
59,1.0
60,3.0
61,3.0
62,1.0
63,1.0
64,3.0
65,4.0
66,2.0
67,3.0
68,3.0
69,3.0
70,4.0
71,4.0
72,3.0
73,2.0
74,1.0
75,4.0
76,1.0
77,2.0
78,2.0
79,3.0
80,1.0
81,3.0
82,5.0
83,4.0
84,2.0
85,3.0
86,2.0
87,4.0
88,4.0
89,1.0
90,1.0
91,2.0
92,3.0
93,3.0
94,3.0
95,1.0
96,5.0
97,1.0
98,2.0
99,2.0
100,0.0
101,4.0
102,1.0
103,2.0
104,3.0
105,3.0
106,2.0
107,2.0
108,3.0
109,5.0
110,4.0
111,3.0
112,2.0
113,1.0
114,4.0
115,1.0
116,2.0
117,2.0
118,4.0
119,3.0
120,2.0
121,2.0
122,2.0
123,2.0
124,4.0
125,3.0
126,3.0
127,2.0
128,1.0
129,2.0
130,1.0
131,3.0
132,1.0
133,4.0
134,4.0
135,4.0
136,0.0
137,3.0
138,3.0
139,2.0
140,3.0
141,2.0
142,2.0
143,4.0
144,4.0
145,2.0
146,2.0
147,3.0
148,2.0
149,4.0
150,3.0
151,3.0
152,3.0
153,2.0
154,3.0
155,3.0
156,2.0
157,3.0
158,1.0
159,3.0
160,4.0
161,0.0
162,0.0
163,3.0
164,3.0
165,2.0
166,3.0
167,2.0
168,2.0
169,2.0
170,4.0
171,2.0
172,3.0
173,1.0
174,4.0
175,2.0
176,3.0
177,1.0
178,2.0
179,1.0
180,2.0
181,3.0
182,3.0
183,2.0
184,1.0
185,2.0
186,3.0
187,4.0
188,3.0
189,1.0
190,4.0
191,1.0
192,2.0
193,4.0
194,2.0
195,3.0
196,4.0
197,3.0
198,1.0
199,2.0
200,3.0
201,2.0
202,2.0
203,1.0
204,3.0
205,3.0
206,3.0
207,3.0
208,4.0
209,2.0
210,4.0
211,2.0
212,4.0
213,3.0
214,3.0
215,2.0
216,3.0
217,3.0
218,3.0
219,3.0
220,3.0
221,2.0
222,3.0
223,1.0
224,3.0
225,1.0
226,2.0
227,1.0
228,2.0
229,2.0
230,2.0
231,2.0
232,3.0
233,4.0
234,2.0
235,1.0
236,2.0
237,2.0
238,3.0
239,3.0
240,3.0
241,2.0
242,3.0
243,5.0
244,3.0
245,1.0
246,3.0
247,3.0
248,2.0
249,1.0
250,1.0
251,1.0
252,3.0
253,4.0
254,2.0
255,2.0
256,4.0
257,3.0
258,4.0
259,3.0
260,2.0
261,1.0
262,1.0
263,0.0
264,4.0
265,1.0
266,3.0
267,2.0
268,3.0
269,4.0
270,3.0
271,1.0
272,3.0
273,3.0
274,4.0
275,2.0
276,3.0
277,5.0
278,4.0
279,3.0
280,3.0
281,2.0
282,2.0
283,2.0
284,3.0
285,2.0
286,0.0
287,3.0
288,3.0
289,2.0
290,2.0
291,2.0
292,2.0
293,1.0
294,3.0
295,4.0
296,4.0
297,2.0
298,2.0
299,3.0
300,3.0
301,3.0
302,2.0
303,4.0
304,3.0
305,3.0
306,2.0
307,3.0
308,1.0
309,2.0
310,3.0
311,3.0
312,2.0
313,2.0
314,3.0
315,2.0
316,2.0
317,4.0
318,3.0
319,2.0
320,2.0
321,5.0
322,5.0
323,3.0
324,2.0
325,4.0
326,4.0
327,2.0
328,3.0
329,3.0
330,1.0
331,0.0
332,2.0
333,3.0
334,3.0
335,0.0
336,1.0
337,1.0
338,3.0
339,3.0
340,2.0
341,0.0
342,1.0
343,4.0
344,4.0
345,3.0
346,3.0
347,2.0
348,4.0
349,3.0
350,3.0
351,2.0
352,3.0
353,4.0
354,1.0
355,2.0
356,2.0
357,1.0
358,3.0
359,2.0
360,2.0
361,1.0
362,4.0
363,4.0
364,5.0
365,3.0
366,3.0
367,1.0
368,2.0
369,5.0
370,2.0
371,3.0
372,1.0
373,2.0
374,2.0
375,2.0
376,2.0
377,2.0
378,1.0
379,2.0
380,3.0
381,3.0
382,5.0
383,3.0
384,5.0
385,1.0
386,3.0
387,3.0
388,3.0
389,2.0
390,1.0
391,2.0
392,2.0
393,4.0
394,3.0
395,3.0
396,3.0
397,3.0
398,2.0
399,3.0
400,4.0
401,2.0
402,3.0
403,2.0
404,3.0
405,2.0
406,2.0
407,5.0
408,4.0
409,2.0
410,4.0
411,3.0
412,2.0
413,2.0
414,4.0
415,2.0
416,2.0
417,1.0
418,2.0
419,1.0
420,2.0
421,5.0
422,2.0
423,2.0
424,0.0
425,2.0
426,1.0
427,2.0
428,3.0
429,4.0
430,2.0
431,2.0
432,1.0
433,4.0
434,2.0
435,4.0
436,3.0
437,2.0
438,2.0
439,4.0
440,1.0
441,2.0
442,1.0
443,2.0
444,2.0
445,2.0
446,4.0
447,2.0
448,4.0
449,1.0
450,3.0
451,1.0
452,4.0
453,4.0
454,1.0
455,5.0
456,1.0
457,3.0
458,3.0
459,4.0
460,3.0
461,4.0
462,1.0
463,4.0
464,3.0
465,2.0
466,2.0
467,2.0
468,1.0
469,2.0
470,4.0
471,3.0
472,3.0
473,2.0
474,5.0
475,4.0
476,1.0
477,2.0
478,5.0
479,2.0
480,4.0
481,2.0
482,2.0
483,3.0
484,4.0
485,2.0
486,2.0
487,2.0
488,4.0
489,2.0
490,3.0
491,3.0
492,4.0
493,4.0
494,3.0
495,2.0
496,3.0
497,4.0
498,3.0
499,3.0
500,1.0
501,3.0
502,1.0
503,3.0
504,4.0
505,1.0
506,4.0
507,0.0
508,3.0
509,1.0
510,1.0
511,3.0
512,3.0
513,2.0
514,2.0
515,5.0
516,2.0
517,3.0
518,2.0
519,3.0
520,2.0
521,0.0
522,2.0
523,2.0
524,1.0
525,2.0
526,2.0
527,1.0
528,1.0
529,2.0
530,2.0
531,2.0
532,2.0
533,2.0
534,0.0
535,5.0
536,2.0
537,3.0
538,4.0
539,3.0
540,4.0
541,3.0
542,2.0
543,2.0
544,2.0
545,2.0
546,4.0
547,3.0
548,3.0
549,2.0
550,4.0
551,4.0
552,3.0
553,3.0
554,3.0
555,2.0
556,1.0
557,5.0
558,2.0
559,1.0
560,3.0
561,3.0
562,4.0
563,3.0
564,3.0
565,1.0
566,3.0
567,3.0
568,2.0
569,2.0
570,1.0
571,2.0
572,4.0
573,0.0
574,2.0
575,1.0
576,3.0
577,3.0
578,3.0
579,2.0
580,3.0
581,2.0
582,1.0
583,2.0
584,3.0
585,2.0
586,3.0
587,2.0
588,3.0
589,2.0
590,1.0
591,2.0
592,2.0
593,3.0
594,4.0
595,2.0
596,2.0
597,3.0
598,2.0
599,1.0
600,2.0
601,2.0
602,4.0
603,3.0
604,3.0
605,2.0
606,3.0
607,1.0
608,3.0
609,3.0
610,2.0
611,4.0
612,2.0
613,2.0
614,3.0
615,2.0
616,2.0
617,3.0
618,4.0
619,2.0
620,3.0
621,4.0
622,2.0
623,2.0
624,3.0
625,3.0
626,2.0
627,4.0
628,0.0
629,2.0
630,2.0
631,4.0
632,3.0
633,5.0
634,3.0
635,4.0
636,1.0
637,3.0
638,4.0
639,4.0
640,3.0
641,4.0
642,3.0
643,2.0
644,2.0
645,3.0
646,3.0
647,2.0
648,2.0
649,2.0
650,4.0
651,5.0
652,3.0
653,1.0
654,3.0
655,3.0
656,2.0
657,3.0
658,2.0
659,3.0
660,2.0
661,3.0
662,3.0
663,2.0
664,2.0
665,2.0
666,3.0
667,3.0
668,2.0
669,3.0
670,3.0
671,2.0
672,2.0
673,3.0
674,4.0
675,2.0
676,4.0
677,2.0
678,2.0
679,0.0
680,4.0
681,3.0
682,2.0
683,4.0
684,2.0
685,2.0
686,1.0
687,4.0
688,1.0
689,4.0
690,3.0
691,3.0
692,4.0
693,2.0
694,2.0
695,3.0
696,2.0
697,2.0
698,3.0
699,3.0
700,3.0
701,2.0
702,2.0
703,3.0
704,2.0
705,3.0
706,3.0
707,1.0
708,0.0
709,3.0
710,2.0
711,2.0
712,2.0
713,4.0
714,3.0
715,2.0
716,1.0
717,3.0
718,2.0
719,2.0
720,3.0
721,1.0
722,3.0
723,4.0
724,0.0
725,3.0
726,4.0
727,2.0
728,4.0
729,2.0
730,2.0
731,3.0
732,4.0
733,2.0
734,2.0
735,5.0
736,1.0
737,3.0
738,4.0
739,3.0
740,2.0
741,2.0
742,2.0
743,1.0
744,1.0
745,1.0
746,3.0
747,4.0
748,2.0
749,4.0
750,2.0
751,0.0
752,0.0
753,1.0
754,3.0
755,1.0
756,3.0
757,2.0
758,2.0
759,3.0
760,4.0
761,2.0
762,2.0
763,0.0
764,0.0
765,2.0
766,3.0
767,2.0
768,2.0
769,2.0
770,4.0
771,3.0
772,3.0
773,3.0
774,3.0
775,0.0
776,1.0
777,4.0
778,4.0
779,3.0
780,2.0
781,2.0
782,3.0
783,4.0
784,2.0
785,4.0
786,3.0
787,3.0
788,3.0
789,3.0
790,3.0
791,3.0
792,4.0
793,5.0
794,4.0
795,1.0
796,1.0
797,3.0
798,3.0
799,4.0
800,4.0
801,0.0
802,0.0
803,2.0
804,0.0
805,2.0
806,2.0
807,1.0
808,4.0
809,2.0
810,1.0
811,2.0
812,3.0
813,3.0
814,1.0
815,1.0
816,4.0
817,3.0
818,1.0
819,1.0
820,4.0
821,2.0
822,4.0
823,3.0
824,1.0
825,2.0
826,1.0
827,2.0
828,4.0
829,3.0
830,3.0
831,2.0
832,3.0
833,1.0
834,1.0
835,3.0
836,2.0
837,2.0
838,2.0
839,3.0
840,2.0
841,3.0
842,1.0
843,4.0
844,4.0
845,0.0
846,3.0
847,3.0
848,1.0
849,1.0
850,3.0
851,2.0
852,3.0
853,3.0
854,2.0
855,2.0
856,3.0
857,3.0
858,0.0
859,0.0
860,2.0
861,2.0
862,5.0
863,2.0
864,4.0
865,2.0
866,3.0
867,0.0
868,2.0
869,1.0
870,4.0
871,4.0
872,1.0
873,3.0
874,1.0
875,3.0
876,1.0
877,3.0
878,4.0
879,3.0
880,2.0
881,5.0
882,3.0
883,1.0
884,5.0
885,3.0
886,3.0
887,3.0
888,2.0
889,2.0
890,4.0
891,2.0
892,1.0
893,4.0
894,1.0
895,3.0
896,1.0
897,3.0
898,1.0
899,1.0
900,2.0
901,1.0
902,2.0
903,4.0
904,0.0
905,4.0
906,4.0
907,3.0
908,2.0
909,1.0
910,2.0
911,3.0
912,3.0
913,0.0
914,2.0
915,3.0
916,2.0
917,1.0
918,2.0
919,3.0
920,2.0
921,1.0
922,2.0
923,2.0
924,3.0
925,3.0
926,2.0
927,1.0
928,2.0
929,3.0
930,3.0
931,4.0
932,2.0
933,2.0
934,1.0
935,2.0
936,0.0
937,2.0
938,3.0
939,3.0
940,4.0
941,4.0
942,3.0
943,1.0
944,3.0
945,2.0
946,2.0
947,2.0
948,2.0
949,2.0
950,2.0
951,1.0
952,3.0
953,2.0
954,3.0
955,1.0
956,1.0
957,2.0
958,2.0
959,2.0
960,2.0
961,2.0
962,2.0
963,2.0
964,2.0
965,4.0
966,2.0
967,4.0
968,4.0
969,4.0
970,2.0
971,4.0
972,5.0
973,2.0
974,3.0
975,3.0
976,2.0
977,4.0
978,2.0
979,3.0
980,2.0
981,2.0
982,3.0
983,1.0
984,3.0
985,3.0
986,2.0
987,1.0
988,1.0
989,1.0
990,5.0
991,3.0
992,2.0
993,5.0
994,2.0
995,2.0
996,3.0
997,1.0
998,5.0
999,4.0
1000,3.0
1001,2.0
1002,4.0
1003,2.0
1004,4.0
1005,1.0
1006,1.0
1007,2.0
1008,2.0
1009,3.0
1010,4.0
1011,3.0
1012,3.0
1013,1.0
1014,3.0
1015,3.0
1016,4.0
1017,4.0
1018,3.0
1019,2.0
1020,2.0
1021,2.0
1022,3.0
1023,2.0
1024,3.0
1025,4.0
1026,2.0
1027,3.0
1028,3.0
1029,4.0
1030,3.0
1031,3.0
1032,2.0
1033,4.0
1034,3.0
1035,3.0
1036,1.0
1037,3.0
1038,3.0
1039,3.0
1040,2.0
1041,2.0
1042,4.0
1043,1.0
1044,1.0
