,acc
0,"tensor(0.0280, dtype=torch.float64)"
1,"tensor(0.0319, dtype=torch.float64)"
2,"tensor(0.0392, dtype=torch.float64)"
3,"tensor(0.0724, dtype=torch.float64)"
4,"tensor(0.1299, dtype=torch.float64)"
5,"tensor(0.1895, dtype=torch.float64)"
6,"tensor(0.2468, dtype=torch.float64)"
7,"tensor(0.3066, dtype=torch.float64)"
8,"tensor(0.3690, dtype=torch.float64)"
9,"tensor(0.4131, dtype=torch.float64)"
10,"tensor(0.4555, dtype=torch.float64)"
11,"tensor(0.5113, dtype=torch.float64)"
12,"tensor(0.5468, dtype=torch.float64)"
13,"tensor(0.5725, dtype=torch.float64)"
14,"tensor(0.5942, dtype=torch.float64)"
15,"tensor(0.6195, dtype=torch.float64)"
16,"tensor(0.6634, dtype=torch.float64)"
17,"tensor(0.7062, dtype=torch.float64)"
18,"tensor(0.7399, dtype=torch.float64)"
19,"tensor(0.7662, dtype=torch.float64)"
20,"tensor(0.7852, dtype=torch.float64)"
21,"tensor(0.7978, dtype=torch.float64)"
22,"tensor(0.8109, dtype=torch.float64)"
