,Tの数
0,29.0
1,24.0
2,23.0
3,22.0
4,28.0
5,27.0
6,23.0
7,25.0
8,28.0
9,25.0
10,26.0
11,21.0
12,25.0
13,26.0
14,25.0
15,26.0
16,27.0
17,29.0
18,27.0
19,23.0
20,28.0
21,28.0
22,30.0
23,25.0
24,30.0
25,32.0
26,27.0
27,24.0
28,30.0
29,24.0
30,29.0
31,29.0
32,27.0
33,29.0
34,26.0
35,19.0
36,25.0
37,26.0
38,25.0
39,25.0
40,24.0
41,25.0
42,22.0
43,25.0
44,27.0
45,26.0
46,28.0
47,23.0
48,24.0
49,27.0
50,34.0
51,25.0
52,18.0
53,28.0
54,33.0
55,29.0
56,29.0
57,28.0
58,23.0
59,25.0
60,27.0
61,25.0
62,32.0
63,27.0
64,27.0
65,28.0
66,22.0
67,28.0
68,25.0
69,22.0
70,22.0
71,28.0
72,24.0
73,27.0
74,23.0
75,28.0
76,26.0
77,26.0
78,23.0
79,27.0
80,26.0
81,30.0
82,23.0
83,26.0
84,19.0
85,30.0
86,23.0
87,27.0
88,21.0
89,26.0
90,30.0
91,26.0
92,23.0
93,27.0
94,28.0
95,26.0
96,29.0
97,24.0
98,26.0
99,29.0
100,25.0
101,32.0
102,26.0
103,28.0
104,22.0
105,25.0
106,29.0
107,24.0
108,25.0
109,22.0
110,25.0
111,26.0
112,29.0
113,28.0
114,28.0
115,30.0
116,31.0
117,25.0
118,25.0
119,26.0
120,24.0
121,24.0
122,28.0
123,27.0
124,26.0
125,28.0
126,28.0
127,27.0
128,24.0
129,24.0
130,24.0
131,28.0
132,26.0
133,31.0
134,30.0
135,27.0
136,26.0
137,28.0
138,22.0
139,25.0
140,26.0
141,27.0
142,25.0
143,21.0
144,27.0
145,24.0
146,27.0
147,35.0
148,28.0
149,26.0
150,30.0
151,27.0
152,23.0
153,28.0
154,32.0
155,28.0
156,27.0
157,24.0
158,28.0
159,30.0
160,28.0
161,26.0
162,28.0
163,26.0
164,31.0
165,30.0
166,25.0
167,26.0
168,27.0
169,24.0
170,26.0
171,25.0
172,18.0
173,23.0
174,26.0
175,24.0
176,23.0
177,28.0
178,25.0
179,22.0
180,30.0
181,28.0
182,29.0
183,26.0
184,29.0
185,24.0
186,25.0
187,26.0
188,28.0
189,28.0
190,31.0
191,25.0
192,30.0
193,23.0
194,28.0
195,29.0
196,27.0
197,21.0
198,24.0
199,24.0
200,29.0
201,24.0
202,25.0
203,31.0
204,29.0
205,27.0
206,25.0
207,23.0
208,29.0
209,25.0
210,28.0
211,23.0
212,32.0
213,27.0
214,35.0
215,25.0
216,25.0
217,27.0
218,27.0
219,29.0
220,31.0
221,25.0
222,26.0
223,27.0
224,31.0
225,27.0
226,22.0
227,29.0
228,30.0
229,27.0
230,26.0
231,31.0
232,27.0
233,29.0
234,26.0
235,27.0
236,27.0
237,27.0
