,Tの数
0,5.0
1,4.0
2,4.0
3,2.0
4,4.0
5,3.0
6,4.0
7,4.0
8,5.0
9,4.0
10,3.0
11,4.0
12,3.0
13,5.0
14,4.0
15,4.0
16,5.0
17,4.0
18,3.0
19,2.0
20,4.0
21,5.0
22,4.0
23,4.0
24,5.0
25,4.0
26,5.0
27,4.0
28,4.0
29,5.0
30,3.0
31,4.0
32,4.0
33,3.0
34,4.0
35,4.0
36,2.0
37,5.0
38,3.0
39,4.0
40,5.0
41,5.0
42,4.0
43,5.0
44,5.0
45,1.0
46,3.0
47,4.0
48,5.0
49,4.0
50,5.0
51,4.0
52,2.0
53,4.0
54,5.0
55,4.0
56,4.0
57,5.0
58,4.0
59,3.0
60,5.0
61,3.0
62,4.0
63,4.0
64,4.0
65,4.0
66,2.0
67,4.0
68,4.0
69,3.0
70,3.0
71,4.0
72,4.0
73,3.0
74,5.0
75,4.0
76,3.0
77,2.0
78,4.0
79,4.0
80,5.0
81,5.0
82,3.0
83,3.0
84,4.0
85,4.0
86,5.0
87,4.0
88,2.0
89,4.0
90,3.0
91,5.0
92,4.0
93,4.0
94,4.0
95,4.0
96,4.0
97,2.0
98,3.0
99,4.0
100,5.0
101,5.0
102,3.0
103,3.0
104,4.0
105,3.0
106,5.0
107,3.0
108,4.0
109,4.0
110,4.0
111,3.0
112,5.0
113,4.0
114,3.0
115,4.0
116,4.0
117,5.0
118,4.0
119,5.0
120,4.0
121,3.0
122,3.0
123,3.0
124,4.0
125,4.0
126,4.0
127,5.0
128,4.0
129,4.0
130,3.0
131,5.0
132,5.0
133,5.0
134,4.0
135,5.0
136,3.0
137,4.0
138,2.0
139,3.0
140,5.0
141,3.0
142,2.0
143,3.0
144,4.0
145,3.0
146,4.0
147,5.0
148,5.0
149,4.0
150,4.0
151,4.0
152,4.0
153,1.0
154,5.0
155,5.0
156,4.0
157,4.0
158,5.0
159,4.0
160,3.0
161,4.0
162,3.0
163,3.0
164,4.0
165,4.0
166,3.0
167,3.0
168,2.0
169,3.0
170,4.0
171,4.0
172,4.0
173,3.0
174,3.0
175,2.0
176,3.0
177,3.0
178,3.0
179,5.0
180,5.0
181,2.0
182,5.0
183,1.0
184,4.0
185,3.0
186,3.0
187,4.0
188,4.0
189,4.0
190,5.0
191,3.0
192,5.0
193,3.0
194,5.0
195,4.0
196,3.0
197,4.0
198,4.0
199,3.0
200,5.0
201,4.0
202,5.0
203,4.0
204,4.0
205,2.0
206,3.0
207,5.0
208,4.0
209,4.0
210,5.0
211,2.0
212,5.0
213,3.0
214,5.0
215,4.0
216,4.0
217,3.0
218,3.0
219,4.0
220,4.0
221,4.0
222,5.0
223,4.0
224,4.0
225,4.0
226,4.0
227,3.0
228,3.0
229,3.0
230,2.0
231,5.0
232,4.0
233,4.0
234,4.0
235,4.0
236,4.0
237,5.0
238,2.0
239,4.0
240,4.0
241,5.0
242,3.0
243,2.0
244,3.0
245,4.0
246,3.0
247,4.0
248,2.0
249,5.0
250,2.0
251,5.0
252,5.0
253,3.0
254,4.0
255,2.0
256,3.0
257,2.0
258,1.0
259,0.0
260,4.0
261,4.0
262,5.0
263,3.0
264,3.0
265,2.0
266,4.0
267,3.0
268,3.0
269,2.0
270,4.0
271,3.0
272,4.0
273,3.0
274,5.0
275,2.0
276,5.0
277,3.0
278,4.0
279,2.0
280,4.0
281,3.0
282,1.0
283,4.0
284,5.0
285,4.0
286,4.0
287,5.0
288,4.0
289,5.0
290,3.0
291,3.0
292,5.0
293,4.0
294,4.0
295,4.0
296,3.0
297,5.0
298,5.0
299,5.0
300,5.0
301,4.0
302,4.0
303,2.0
304,5.0
305,4.0
306,1.0
307,4.0
308,4.0
309,5.0
310,2.0
311,3.0
312,3.0
313,4.0
314,5.0
315,4.0
316,4.0
317,3.0
318,4.0
319,4.0
320,5.0
321,3.0
322,3.0
323,4.0
324,5.0
325,3.0
326,5.0
327,4.0
328,3.0
329,3.0
330,3.0
331,5.0
332,5.0
333,5.0
334,4.0
335,3.0
336,5.0
337,2.0
338,4.0
339,4.0
340,4.0
341,2.0
342,2.0
343,4.0
344,2.0
345,5.0
346,4.0
347,2.0
348,5.0
349,4.0
350,3.0
351,3.0
352,4.0
353,3.0
354,5.0
355,4.0
356,5.0
357,4.0
358,2.0
359,4.0
360,5.0
361,3.0
362,4.0
363,4.0
364,4.0
365,3.0
366,5.0
367,4.0
368,5.0
369,3.0
370,2.0
371,2.0
372,4.0
373,5.0
374,3.0
375,3.0
376,4.0
377,4.0
378,3.0
379,5.0
380,3.0
381,4.0
382,5.0
383,5.0
384,4.0
385,5.0
386,5.0
387,3.0
388,4.0
389,2.0
390,5.0
391,5.0
392,5.0
393,4.0
394,3.0
395,3.0
396,5.0
397,5.0
398,5.0
399,5.0
400,3.0
401,5.0
402,4.0
403,2.0
404,3.0
405,3.0
406,5.0
407,5.0
408,4.0
409,4.0
410,4.0
411,3.0
412,5.0
413,3.0
414,5.0
415,2.0
416,4.0
417,3.0
418,4.0
419,5.0
420,4.0
421,3.0
422,4.0
423,4.0
424,5.0
425,5.0
426,5.0
427,4.0
428,4.0
429,1.0
430,4.0
431,5.0
432,3.0
433,4.0
434,5.0
435,2.0
436,4.0
437,4.0
438,4.0
439,5.0
440,2.0
441,4.0
442,5.0
443,4.0
444,3.0
445,4.0
446,5.0
447,5.0
448,4.0
449,4.0
450,3.0
451,3.0
452,4.0
453,2.0
454,4.0
455,5.0
456,3.0
457,3.0
458,4.0
459,3.0
460,3.0
461,5.0
462,4.0
463,5.0
464,3.0
465,3.0
466,4.0
467,3.0
468,3.0
469,3.0
470,5.0
471,4.0
472,5.0
473,4.0
474,4.0
475,5.0
476,4.0
477,5.0
478,3.0
479,3.0
480,3.0
481,3.0
482,5.0
483,3.0
484,1.0
485,2.0
486,4.0
487,5.0
488,5.0
489,5.0
490,5.0
491,4.0
492,4.0
493,4.0
494,3.0
495,2.0
496,3.0
497,2.0
498,4.0
499,4.0
500,4.0
501,4.0
502,3.0
503,4.0
504,4.0
505,4.0
506,4.0
507,4.0
508,4.0
509,3.0
510,5.0
511,4.0
512,5.0
513,3.0
514,2.0
515,4.0
516,4.0
517,4.0
518,2.0
519,4.0
520,5.0
521,4.0
522,5.0
523,4.0
524,4.0
525,4.0
526,4.0
527,3.0
528,3.0
529,3.0
530,5.0
531,5.0
532,4.0
533,5.0
534,4.0
535,5.0
536,5.0
537,2.0
538,4.0
539,2.0
540,4.0
541,5.0
542,3.0
543,3.0
544,4.0
545,3.0
546,5.0
547,3.0
548,4.0
549,4.0
550,2.0
551,3.0
552,2.0
553,3.0
554,3.0
555,2.0
556,3.0
557,3.0
558,1.0
559,5.0
560,4.0
561,2.0
562,5.0
563,5.0
564,3.0
565,4.0
566,3.0
567,5.0
568,3.0
569,5.0
570,4.0
571,5.0
572,3.0
573,5.0
574,4.0
575,2.0
576,3.0
577,3.0
578,4.0
579,3.0
580,4.0
581,2.0
582,3.0
583,3.0
584,4.0
585,3.0
586,5.0
587,5.0
588,4.0
589,2.0
590,2.0
591,4.0
592,5.0
593,4.0
594,5.0
595,4.0
596,4.0
597,4.0
598,3.0
599,4.0
600,3.0
601,2.0
602,3.0
603,3.0
604,5.0
605,4.0
606,4.0
607,3.0
608,4.0
609,4.0
610,2.0
611,5.0
612,2.0
613,5.0
614,4.0
615,3.0
616,5.0
617,5.0
618,5.0
619,5.0
620,3.0
621,3.0
622,4.0
623,5.0
624,5.0
625,5.0
626,3.0
627,3.0
628,4.0
629,4.0
630,2.0
631,4.0
632,2.0
633,2.0
634,4.0
635,4.0
636,4.0
637,5.0
638,4.0
639,4.0
640,2.0
641,4.0
642,5.0
643,4.0
644,4.0
645,0.0
646,3.0
647,4.0
648,2.0
649,2.0
650,3.0
651,4.0
652,4.0
653,4.0
654,4.0
655,5.0
656,3.0
657,3.0
658,4.0
659,4.0
660,3.0
661,2.0
662,4.0
663,4.0
664,4.0
665,5.0
666,4.0
667,3.0
668,5.0
669,4.0
670,3.0
671,3.0
672,5.0
673,3.0
674,4.0
675,5.0
676,2.0
677,3.0
678,3.0
679,3.0
680,4.0
681,3.0
682,3.0
683,5.0
684,2.0
685,5.0
686,4.0
687,4.0
688,2.0
689,2.0
690,2.0
691,5.0
692,3.0
693,4.0
694,5.0
695,4.0
696,2.0
697,3.0
698,5.0
699,2.0
700,3.0
701,5.0
702,4.0
703,4.0
704,3.0
705,5.0
706,3.0
707,3.0
708,3.0
709,1.0
710,3.0
711,4.0
712,4.0
713,4.0
714,2.0
715,4.0
716,4.0
717,3.0
718,3.0
719,5.0
720,4.0
721,4.0
722,4.0
723,5.0
724,5.0
725,4.0
726,4.0
727,4.0
728,5.0
729,4.0
730,3.0
731,3.0
732,4.0
733,4.0
734,4.0
735,3.0
736,5.0
737,4.0
738,5.0
739,5.0
740,3.0
741,2.0
742,3.0
743,4.0
744,4.0
745,3.0
746,5.0
747,3.0
748,4.0
749,4.0
750,4.0
751,5.0
752,3.0
753,5.0
754,2.0
755,4.0
756,4.0
757,2.0
758,4.0
759,4.0
760,4.0
761,2.0
762,4.0
763,3.0
764,3.0
765,4.0
766,5.0
767,5.0
768,5.0
769,4.0
770,4.0
771,2.0
772,4.0
773,5.0
774,3.0
775,4.0
776,3.0
777,5.0
778,3.0
779,4.0
780,4.0
781,3.0
782,4.0
783,4.0
784,4.0
785,4.0
786,5.0
787,4.0
788,4.0
789,4.0
790,4.0
791,5.0
792,4.0
793,5.0
794,4.0
795,5.0
796,5.0
797,3.0
798,4.0
799,2.0
800,5.0
801,3.0
802,5.0
803,3.0
804,3.0
805,4.0
806,4.0
807,3.0
808,3.0
809,5.0
810,4.0
811,3.0
812,3.0
813,3.0
814,4.0
815,3.0
816,3.0
817,5.0
818,4.0
819,4.0
820,4.0
821,2.0
822,3.0
823,5.0
824,4.0
825,2.0
826,4.0
827,5.0
828,4.0
829,4.0
830,4.0
831,3.0
832,2.0
833,4.0
834,4.0
835,4.0
836,4.0
837,3.0
838,3.0
839,4.0
840,5.0
841,4.0
842,3.0
843,1.0
844,5.0
845,3.0
846,4.0
847,5.0
848,5.0
849,4.0
850,5.0
851,2.0
852,3.0
853,5.0
854,4.0
855,5.0
856,4.0
857,4.0
858,2.0
859,2.0
860,4.0
861,4.0
862,4.0
863,5.0
864,4.0
865,4.0
866,4.0
867,1.0
868,5.0
869,5.0
870,4.0
871,3.0
872,4.0
873,4.0
874,2.0
875,1.0
876,4.0
877,3.0
878,4.0
879,5.0
880,5.0
881,4.0
882,2.0
883,5.0
884,4.0
885,4.0
886,2.0
887,3.0
888,4.0
889,5.0
890,4.0
891,5.0
892,2.0
893,5.0
894,3.0
895,4.0
896,4.0
897,2.0
898,3.0
899,4.0
900,4.0
901,4.0
902,3.0
903,4.0
904,3.0
905,5.0
906,4.0
907,5.0
908,2.0
909,5.0
910,3.0
911,3.0
912,3.0
913,5.0
914,3.0
915,4.0
916,4.0
917,3.0
918,4.0
919,4.0
920,5.0
921,5.0
922,5.0
923,3.0
924,3.0
925,3.0
926,4.0
927,4.0
928,4.0
929,4.0
930,4.0
931,5.0
932,4.0
933,2.0
934,5.0
935,5.0
936,5.0
937,5.0
938,2.0
939,3.0
940,3.0
941,5.0
942,4.0
943,4.0
944,3.0
945,3.0
946,5.0
947,3.0
948,5.0
949,4.0
950,3.0
951,5.0
952,4.0
953,5.0
954,4.0
955,4.0
956,3.0
957,4.0
958,3.0
959,4.0
960,3.0
961,4.0
962,3.0
963,4.0
964,5.0
965,3.0
966,5.0
967,4.0
968,3.0
969,5.0
970,4.0
971,3.0
972,4.0
973,4.0
974,2.0
975,5.0
976,1.0
977,4.0
978,4.0
979,4.0
980,5.0
981,5.0
982,2.0
983,2.0
984,3.0
985,2.0
986,4.0
987,5.0
988,3.0
989,5.0
990,4.0
991,3.0
