,acc
0,"tensor(0.2173, dtype=torch.float64)"
1,"tensor(0.3076, dtype=torch.float64)"
2,"tensor(0.3325, dtype=torch.float64)"
3,"tensor(0.3507, dtype=torch.float64)"
4,"tensor(0.3627, dtype=torch.float64)"
5,"tensor(0.3760, dtype=torch.float64)"
6,"tensor(0.3951, dtype=torch.float64)"
7,"tensor(0.4116, dtype=torch.float64)"
8,"tensor(0.4283, dtype=torch.float64)"
9,"tensor(0.4418, dtype=torch.float64)"
10,"tensor(0.4524, dtype=torch.float64)"
11,"tensor(0.4609, dtype=torch.float64)"
12,"tensor(0.4664, dtype=torch.float64)"
13,"tensor(0.4706, dtype=torch.float64)"
14,"tensor(0.4750, dtype=torch.float64)"
15,"tensor(0.4776, dtype=torch.float64)"
16,"tensor(0.4813, dtype=torch.float64)"
17,"tensor(0.4835, dtype=torch.float64)"
18,"tensor(0.4860, dtype=torch.float64)"
19,"tensor(0.4877, dtype=torch.float64)"
20,"tensor(0.4898, dtype=torch.float64)"
21,"tensor(0.4917, dtype=torch.float64)"
22,"tensor(0.4934, dtype=torch.float64)"
23,"tensor(0.4953, dtype=torch.float64)"
24,"tensor(0.4963, dtype=torch.float64)"
25,"tensor(0.4977, dtype=torch.float64)"
26,"tensor(0.4991, dtype=torch.float64)"
27,"tensor(0.4997, dtype=torch.float64)"
28,"tensor(0.5010, dtype=torch.float64)"
